,№ п/п,KKS-код сигнала,Наименование параметра (механизма),Наименование сигнала,Участие в задачах,Примечание
226,247,N1NDF10AA001,Затвор дисковый секционирующий К-,теплообменники,ДУ,
227,248,N1NDF10AA001,Затвор дисковый секционирующий К-,теплообменники,ДУ,
228,249,N1NDF10AA001,Затвор дисковый секционирующий К-,теплообменники,ДУ,
229,250,N1NDF10AA001,Затвор дисковый секционирующий К-,теплообменники,ДУ,
230,251,N1NDF10AA001,Затвор дисковый секционирующий К-,теплообменники,ДУ,
231,252,N1NDF10AA001,Затвор дисковый секционирующий К-,теплообменники,ДУ,
232,253,N1NDF10AA001,Затвор дисковый секционирующий К-,теплообменники,ДУ,
233,254,N1NDF10AA001,Затвор дисковый секционирующий К-,теплообменники,ПС,
234,255,N1NDG20AA001,Затвор дисковый секционирующий К-,теплообменников,ДУ,
235,256,N1NDG20AA001,Затвор дисковый секционирующий К-,теплообменников,ДУ,
236,257,N1NDG20AA001,Затвор дисковый секционирующий К-,теплообменников,ДУ,
237,258,N1NDG20AA001,Затвор дисковый секционирующий К-,теплообменников,ДУ,
238,259,N1NDG20AA001,Затвор дисковый секционирующий К-,теплообменников,ДУ,
239,260,N1NDG20AA001,Затвор дисковый секционирующий К-,теплообменников,ДУ,
240,261,N1NDG20AA001,Затвор дисковый секционирующий К-,теплообменников,ДУ,
241,262,N1NDG20AA001,Затвор дисковый секционирующий К-,теплообменников,ПС,
242,263,Не открыто,Затвор дисковый Т-20 на выходе,N1NDD01AA002,ДУ,
243,264,Не закрыто,Затвор дисковый Т-20 на выходе,N1NDD01AA002,ДУ,
244,265,превышение момента на открытие,Затвор дисковый Т-20 на выходе,N1NDD01AA002,ДУ,
245,266,превышение момента на закрытие,Затвор дисковый Т-20 на выходе,N1NDD01AA002,ДУ,
246,267,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-20 на выходе,N1NDD01AA002,ДУ,
247,268,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-20 на выходе,N1NDD01AA002,ДУ,
248,269,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-20 на выходе,N1NDD01AA002,ДУ,
249,270,Автоматический выключатель,Затвор дисковый Т-20 на выходе,N1NDD01AA002,ПС,
250,271,Не открыто,Затвор дисковый К-17 на выходе,N1NDD01AA004,ДУ,
251,272,Не закрыто,Затвор дисковый К-17 на выходе,N1NDD01AA004,ДУ,
252,273,превышение момента на открытие,Затвор дисковый К-17 на выходе,N1NDD01AA004,ДУ,
253,274,превышение момента на закрытие,Затвор дисковый К-17 на выходе,N1NDD01AA004,ДУ,
254,275,"сигнал ""Открыть"" от УКП",Затвор дисковый К-17 на выходе,N1NDD01AA004,ДУ,
255,276,"сигнал ""Закрыть"" от УКП",Затвор дисковый К-17 на выходе,N1NDD01AA004,ДУ,
256,277,"сигнал ""Стоп"" от УКП",Затвор дисковый К-17 на выходе,N1NDD01AA004,ДУ,
